支付宝交易记录明细查询
账号:[13763395015]
起始日期:[2017-01-12 00:00:00]    终止日期:[2021-04-02 17:14:40]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
20210402200040011100930051113255	,                    	,2021-04-02 16:56:00 ,2021-04-02 16:56:05 ,2021-04-02 16:56:05 ,支付宝网站     ,即时到账交易          ,纪穗虎(纪穗虎)        ,2021年04月房租900+卫生费30 ,930.00  ,支出      ,交易成功    ,0.00     ,0.00     ,2021年04月房租900+卫生费30 ,已支出      ,
2021032822001114931440363887_1267550186061949589	,T200P1267550186061949589	,2021-04-02 13:42:24 ,                    ,2021-04-02 13:42:24 ,淘宝        ,支付宝担保交易         ,洁思羽旗舰店          ,退款-t恤男韩版潮流潮牌宽松纯色半袖港风衣服短袖ins白色上衣打底衫,59.70   ,        ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021040222001414931444016596	,7320180330024764010461368603565000236207139	,2021-04-02 11:49:48 ,2021-04-02 11:49:49 ,2021-04-02 11:49:49 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西关布拉肠私房菜        ,美团收银807443977094926336,16.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021040122001414931442922545	,70126600000105000220210401191790845603	,2021-04-01 19:41:53 ,2021-04-01 19:41:55 ,2021-04-01 19:41:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,广州市天河区员村佳之缘商店   ,利家超市员村店2021040119414934183151,25.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021040122001414931443641741	,46172766517802700214932	,2021-04-01 19:30:51 ,2021-04-01 19:30:57 ,2021-04-01 19:31:14 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*志勇             ,商品                  ,17.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021040122001414931443389087	,9520180330024764010461368603563882800107139	,2021-04-01 11:53:22 ,2021-04-01 11:53:23 ,2021-04-01 11:53:23 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西关布拉肠私房菜        ,美团收银807082488638906368,19.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021033122001414931442843887	,16171908791802700214932	,2021-03-31 19:41:19 ,2021-03-31 19:41:26 ,2021-03-31 19:41:26 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,雷外秀             ,商品                  ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021033122001414931442821470	,46171903331802700214932	,2021-03-31 19:32:13 ,2021-03-31 19:32:24 ,2021-03-31 19:33:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*志勇             ,商品                  ,19.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021033122001414931442921957	,5820180330024764010461368603562482856007139	,2021-03-31 11:52:37 ,2021-03-31 11:52:38 ,2021-03-31 11:52:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西关布拉肠私房菜        ,美团收银806719910045859840,14.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021033022001414931442362558	,16171068552802700214932	,2021-03-30 20:20:55 ,2021-03-30 20:20:59 ,2021-03-30 20:20:59 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,雷外秀             ,商品                  ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
